iter	Passed	Remaining
649	19359	10424
650	19390	10395
651	19422	10366
652	19452	10337
653	19485	10308
654	19511	10277
655	19542	10248
656	19575	10219
657	19608	10191
658	19637	10161
659	19669	10132
660	19699	10103
661	19729	10073
662	19762	10044
663	19788	10013
664	19813	9981
665	19850	9955
666	19890	9930
667	19926	9903
668	19958	9874
669	19991	9846
670	20020	9816
671	20055	9789
672	20087	9760
673	20115	9729
674	20143	9698
675	20171	9668
676	20198	9636
677	20229	9607
678	20260	9578
679	20289	9548
680	20317	9517
681	20341	9484
682	20371	9454
683	20400	9424
684	20433	9396
685	20466	9368
686	20495	9337
687	20523	9307
688	20553	9277
689	20586	9248
690	20613	9217
691	20641	9187
692	20673	9158
693	20706	9129
694	20734	9099
695	20763	9069
696	20793	9039
697	20827	9011
698	20857	8981
699	20889	8952
700	20916	8921
701	20947	8892
702	20977	8862
703	21004	8831
704	21034	8801
705	21069	8774
706	21100	8744
707	21147	8722
708	21174	8690
709	21209	8663
710	21242	8634
711	21279	8607
712	21307	8576
713	21337	8547
714	21367	8517
715	21398	8487
716	21427	8457
717	21454	8426
718	21486	8397
719	21519	8368
720	21547	8337
721	21565	8303
722	21595	8273
723	21622	8242
724	21656	8214
725	21683	8183
726	21705	8150
727	21733	8120
728	21762	8090
729	21792	8060
730	21824	8031
731	21854	8001
732	21881	7970
733	21914	7941
734	21949	7913
735	21982	7885
736	22015	7856
737	22043	7825
738	22070	7795
739	22097	7764
740	22128	7734
741	22157	7704
742	22192	7676
743	22223	7646
744	22256	7617
745	22284	7587
746	22312	7557
747	22339	7526
748	22372	7497
749	22399	7466
750	22426	7435
751	22455	7405
752	22483	7375
753	22514	7345
754	22544	7315
755	22576	7286
756	22608	7257
757	22639	7227
758	22669	7198
759	22698	7168
760	22728	7138
761	22759	7108
762	22788	7078
763	22821	7049
764	22857	7021
765	22904	6996
766	22936	6967
767	22973	6939
768	22998	6908
769	23028	6878
770	23060	6849
771	23094	6820
772	23127	6791
773	23159	6762
774	23185	6731
775	23222	6703
776	23250	6673
777	23284	6644
778	23313	6613
779	23347	6585
780	23377	6555
781	23405	6524
782	23438	6495
783	23465	6464
784	23497	6435
785	23534	6407
786	23561	6376
787	23589	6346
788	23624	6317
789	23649	6286
790	23682	6257
791	23711	6227
792	23746	6198
793	23776	6168
794	23805	6138
795	23835	6108
796	23866	6078
797	23905	6051
798	23936	6021
799	23966	5991
800	24000	5962
801	24029	5932
802	24059	5902
803	24090	5872
804	24123	5843
805	24163	5816
806	24197	5786
807	24242	5760
808	24274	5731
809	24304	5701
810	24335	5671
811	24363	5640
812	24381	5608
813	24401	5575
814	24432	5545
815	24459	5515
816	24485	5484
817	24514	5454
818	24543	5424
819	24572	5394
820	24606	5364
821	24644	5336
822	24671	5306
823	24706	5277
824	24734	5246
825	24766	5217
826	24798	5187
827	24837	5159
828	24870	5130
829	24901	5100
830	24926	5069
831	24955	5039
832	24986	5009
833	25015	4979
834	25046	4949
835	25078	4919
836	25105	4889
837	25134	4858
838	25167	4829
839	25195	4799
840	25227	4769
841	25259	4739
842	25288	4709
843	25318	4679
844	25351	4650
845	25386	4621
846	25414	4590
847	25449	4561
848	25481	4532
849	25512	4502
850	25540	4471
851	25561	4440
852	25590	4410
853	25614	4379
854	25644	4349
855	25663	4317
856	25693	4287
857	25725	4257
858	25759	4228
859	25787	4197
860	25814	4167
861	25848	4138
862	25882	4108
863	25915	4079
864	25944	4049
865	25975	4019
866	26003	3989
867	26027	3958
868	26056	3927
869	26081	3897
870	26108	3866
871	26140	3837
872	26171	3807
873	26206	3778
874	26236	3748
875	26272	3718
876	26300	3688
877	26331	3658
878	26358	3628
879	26393	3599
880	26422	3568
881	26456	3539
882	26476	3508
883	26505	3478
884	26532	3447
885	26548	3415
886	26581	3386
887	26613	3356
888	26649	3327
889	26682	3297
890	26724	3269
891	26758	3239
892	26790	3210
893	26821	3180
894	26854	3150
895	26890	3121
896	26919	3091
897	26953	3061
898	26977	3030
899	27011	3001
900	27045	2971
901	27074	2941
902	27102	2911
903	27144	2882
904	27181	2853
905	27214	2823
906	27247	2793
907	27294	2765
908	27338	2736
909	27375	2707
910	27413	2678
911	27442	2647
912	27470	2617
913	27504	2587
914	27529	2557
915	27563	2527
916	27588	2497
917	27623	2467
918	27652	2437
919	27682	2407
920	27710	2376
921	27741	2346
922	27776	2317
923	27811	2287
924	27843	2257
925	27882	2228
926	27918	2198
927	27950	2168
928	27984	2138
929	28017	2108
930	28050	2078
931	28078	2048
932	28112	2018
933	28139	1988
934	28176	1958
935	28212	1929
936	28237	1898
937	28271	1868
938	28299	1838
939	28325	1808
940	28357	1777
941	28391	1748
942	28421	1717
943	28450	1687
944	28479	1657
945	28511	1627
946	28542	1597
947	28571	1567
948	28598	1536
949	28631	1506
950	28660	1476
951	28691	1446
952	28723	1416
953	28757	1386
954	28790	1356
955	28815	1326
956	28844	1296
957	28877	1266
958	28903	1235
959	28936	1205
960	28966	1175
961	28994	1145
962	29018	1114
963	29051	1084
964	29080	1054
965	29115	1024
966	29151	994
967	29184	964
968	29215	934
969	29246	904
970	29280	874
971	29312	844
972	29342	814
973	29375	784
974	29402	753
975	29433	723
976	29463	693
977	29495	663
978	29521	633
979	29553	603
980	29584	572
981	29618	542
982	29651	512
983	29685	482
984	29717	452
985	29749	422
986	29779	392
987	29807	362
988	29840	331
989	29870	301
990	29894	271
991	29925	241
992	29952	211
993	29981	180
994	30011	150
995	30045	120
996	30075	90
997	30100	60
998	30132	30
999	30162	0
